Model,Dice (%),HD95 (mm),ASD (mm),TW Dice (%)
AFS-DSN Full  (n=20),94.23 ± 2.21,1.86,0.992,94.57 ± 1.98
AFS-DSN Lite  (n=20),94.37 ± 2.34,1.82,0.989,94.67 ± 2.12
